"MATR_ALUNO";"COD_CURSO";"ANO";"PERIODO";"COD_ATIV_CURRIC";"NOME_ATIV_CURRIC";"CREDITOS";"MEDIA_FINAL";"DESCR_SITUACAO";"TOTAL_CARGA_HORARIA";"FORMA_INGRESSO";"ANO_INGRESSO";"FORMA_EVASAO";"ANO_EVASAO";"SEXO"
"3a54ae04d072bbf072ee5fc7c86ae55c90d68e09331a500016aea6d8e1a1aa8ccef4daf51a580f0b86add4d3b5864ffef6d2d5656f407d7fc2d5532fa3b0627e6b2985c0d284fc211a91699a7fe9741e4ed9b7038cd48de6b3df156d1dfe4778c2e2511948cedfbd1b5987bea07392b978e5c824da9cb36e5cb7945fc502098b05ab3454a4428c0d816919ee6036d2252331d971f3828ab9be93e3f231c605cf5e473fa775f34bd48007963efa6fb87b2be1d6324622f38c275942feb2a9c4a3145fbfea939d7652789475505935c2eb869b1c6ecc1192b6aaad096b1430a5ac3f04cdd438571557effd02aa80b7a9e7e22698c074dddbf5a66c7832628282b0";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;7.4;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"F"
"2a6f5ae3b223356e2da32142756dfe869abcc0f9207dac829da04a6afc8efdf32110c5e876163adbfad02cfafa247034c3a923349d5047f2bd0afd9b64bfa9f3c50e3942b34a92c87a664ed312fde9a3ea7abbc0ef1fa28706c63ef3fecbe8205754e9f24987bf7225a4dee12789c64ba142936acaa87924463c02c67dea0b92578467f3ff300f0296036b2deca6408da3add588a97f0eb93f73152a49e97f26a860a83d4a30bacdb29477d9c7256fba387c7047e1291d395a37cb3575409db6203cbd69b6b0105f509d1bd67d28d80920880dfccb0f8dbef843052bac66021a0492277a334fe1dc3ced64d8ba202256ec87204a95efdb18c216a2d266606182";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"685e6b1f685284c505fce7056cc5cbb878671ce57de5f8c522e148d36f41f09e22228d40c3d33972152f7599fb9da2a08d3c601d3e43ec6892cd003eeb4b4a3018551ebacfb83284ed336a89031e5857b4a32ed53a72ac73b0bffd00ced27f9c8a7151a145d89378d4924c18adca6dd1841a377611b64fa073b28694fb768f14865d1abfa7c62a49410f6140973c9c9d57f1664dd6f3c46a0ce020257e4a9252e0af60b17dfef99ab82abb7c8374181191dd7747d07b017d6d256600966d625c15a38cfba7a1e1951de72cb161b10ce9d8578644357b0eddcbcd4f387dd95c334fe86ed0353b3aa019972bf588d76b45973c32ac5143c71a4c728d1d9b876375";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.9;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2018;"M"
"26a1db55d9a434452cc6bde8a2fac8fd1619a7ab404e287873deda056e2855a2da9bef062213098c4165be913a4e3f077c0cb71b164cf4bc80972b8f72adda9a052e21e67c476effc2d41254ac320567fa744748f03ee5164715dcb843b090f045a73f06d0149517a3692966b43b1a355499f0b025c8e8f3f6ca032dd2024b8f0cbed40e66fba5cf084997854139594817ade72f066b78656763bf26f15f4ec9ac178409a1dcf5f1081b292786e9b3444b76a8d257ca700c5fe4d6b411be042540a29931ad7edacf03a261a2a7c71ddeb11d9a244df211190e5dcb3ac6b1862fab4cafdce88d45ea872f6664441f67fc5500e775f0b8ffe55d320e28d2a5a165";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.7;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"c912910e90e5733f8d439e68be423501e05948627056a700228ca68d34255a69134fcab9e7ffe786d1e50e8aa8c3d9c9834b18d665045052178ebadda7af0ed5e62e5b0cf0e33ee8cfba17935f6d69a37f0a014611d26a9e45f3d40bc325cb85243c1885e61d321d17138f5cc51a13a0af6fe23b8526dc172b71638e14701610c5a8466696dd5c886985cdcea8f46c06e0a810dd4b483f4012f5b6d99e2b2b856505106310ce45e4cf6b3e20100c5ef06f6d906c68ab1270fd5be2ee10553d9ed488544c3e6c2976b2342b786e5ca87bcf54d6925bb2bbf19e4e9cf9e6f38cdccf3586f53f8dd571faa9db1e11070b3ffe065631fb2a570493487858e4916a4e";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"F"
"de54921133ba606840ab010e4fdae40ac20d1637db15f384996d820e927601096b6fdec229dc34cf89c6a9ae1334b246291d75687e4be71d5b98a52e88b14a3c807b77e27e2f96b50fe5e3256c0dc12c80ad19325e212ae6b953a8d48cd3d514f130cde234589c326061dcc9bd5e0c5c778bf4ad92ada0fc9729041b10e02dfd4f33ae58541a8a6b1171683793a970b4357e80b1418088f6a8e1760bd320d4cae2b3c956f3860453170663139ac9a22d7212288a1d5e90399226e786a4455287920508fb7c6432fcc2687d53932d45a3deb2720fdf0699a3c8bb302308f72095221315d4349b84398b8064c47b12f65ce0cb89403a8b33bd4b549db70d8f7b7f";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2017;"M"
"df97771ef75ebe0b74d771e0a83e4c731c8eaa79957e728b2b88fbb24699f8c163619113f34fe210c5fc6d76a464b0669d74ec568aa931d9e6e5c971b69c0de0e235b8cf8b10787c81c6eb3fcd406d0bdff07d4e10b18d38c3d2e28c6e16f3d1fdc1fff217fb0bff500699a122e7cb957039dfa5e67d5164a679461fbea32b777362c4cbb08903c9eb0898bb58ab798c8cf4d84d754051da90275a700fce5d6f2aac441e52fb17a3513e21cd06b130ee4fe841561acc277cf7c7ff7c25f7f339e560b5f6df7c800c8195f6b42e3c20339084bed2543e7152bb084683f22eafc548dc68ed9f93fd487343886c8ac881a518a9bd149e14b5c58c4b191e08bb4cc3";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.7;"Aproveitamento";60;"Transferência Interna";2016;"Desligamento";2017;"F"
"a755e39d5900f70c5fa690acd0e0e242c08026048d7156666e6cb924464dd50064a09546783e42ed4e2841161ac857168b64acba0c5ec9c73069ee96d47e412e0b1970fb7ce8b0e8306b6e02274889e8805461604625b015ce0932946d454db0421877ece090bfab3349b2bbedc95386ee42ccb8fac6150f2b55df7bf527a35a52159a9adbeff1e3be8d3a8a43e5d51ebc738db64f1cf3946e893870406472a0fb398982e534d4c3868a448ae634c90562663469528c61dd284ede5a005158f56723ebc949cabb8fd0cba67d19f77e61f21bb001984dac5e1ac110b36d3805802447edcf9502dc0f563565adc88010a460331e5ed74bff44f2ec454161fc4fed";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;6.3;"Aproveitamento";60;"Transferência Interna";2016;"Aluno Regular";NA;"M"
"809b8088f24d389f4ec10d2999699ca5edf9cd8da6d84c1ca4a9879e63b8f4582d3e07c2cf597dc8410219d40fffcea278d382dcb930c4337a2f43985e89c8a4cb88b27e645b4e9a2089ac165288e6543a337bc9bd77145a522432f22ce13e4cf1f81faf59287a38f75181b022c9df8efb797a30f6c77d4803512e78685fdccb2c31da970f34a792442420b35fd2de27de28bc4be43c17e222e94f917c7066cbb46b7db2b9771adbf4d990a6216b80ba717b38d7116b4062d1344bd8eab32a15d0715d241bc40f1f036386ef492aec33657c0f5ac6c4b4428f49cdfb9ce3804070e6cfba315d5c83a6b9b468a13752b45ef5cb892f2d159fd8118e0b734c97b5";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;7;"Aproveitamento";60;"Transferência Interna";2016;"Transferência";2016;"M"
"9f9f86f984ebafce138e29f7e82389284b106f1cf01d85f0b1892f975023407b80752a299e92eaa38c78f5db49dc5d98cfaba161eb469d945f6e80ef842e51fe177c1d447b9ac3a6fbc70ae708c6db046e93df2738514fc3b969da8ecd0457ded42102c03e252277307eb921d41531c421095176ab48f0b8c1e9d6603c512056c0e4faf6b69a3ca7f484b33902fc6ce214184a085fabac099e44e3051e646c6851c8135f01c59bb2fa25ba244e79acd2857664ceec7a4f436121bc85e8dce56ce849ac08599fade11566b8faddbded0a236b9b5381a6d261a53bcc7e2127b6423f515b578ba197fb17cb419b6506a97681de4768be9be0280c3fe9ca4a50be60";"BAEE";2016;"1. Semestre";"BA010801";"DESENHO TECNICO I";4;8.1;"Aproveitamento";60;"Transferência Interna";2016;"Formado";2018;"M"
