id;SEXO
799;F
800;M
801;F
802;F
803;M
804;F
805;M
806;M
807;M
808;M
809;F
810;M
811;M
812;M
813;F
814;M
815;F
816;F
817;M
818;M
819;M
820;M
821;M
822;F
823;F
824;M
825;M
826;F
827;M
828;M
829;M
830;M
831;M
832;M
833;M
834;M
835;M
836;M
837;F
838;F
839;F
840;F
841;M
842;M
843;F
844;F
845;F
846;M
847;M
848;M
849;M
850;M
851;M
852;M
853;M
854;M
855;F
856;F
857;F
858;F
859;M
860;M
861;F
862;F
863;F
864;F
865;F
866;F
867;F
868;F
869;F
870;M
871;F
872;F
873;M
874;M
875;F
876;M
877;F
878;F
879;M
880;M
881;M
882;M
883;M
884;M
885;M
886;M
887;M
888;M
889;M
890;M
891;F
892;F
893;M
894;M
895;M
896;F
897;M
898;F
899;F
900;F
901;F
902;F
903;F
904;F
905;F
906;F
907;F
908;F
909;M
910;M
911;M
912;M
913;M
914;F
915;M
916;M
917;M
918;M
919;F
920;M
921;M
922;M
923;M
924;M
925;M
926;M
927;M
928;M
929;M
930;M
931;M
932;M
933;M
934;M
935;M
936;M
937;M
938;M
939;M
940;M
941;M
942;M
943;F
944;F
945;F
946;F
947;F
948;F
949;F
950;M
951;F
952;F
953;M
954;F
955;F
956;M
957;F
958;M
959;M
960;F
961;M
962;M
963;M
964;M
965;M
966;F
967;M
968;F
969;F
970;M
971;M
972;F
973;F
974;F
975;F
976;F
977;M
978;F
979;M
980;M
981;M
982;F
983;M
984;F
985;M
986;F
987;F
988;F
989;F
990;M
991;F
992;F
993;M
994;M
995;F
996;F
997;F
998;M
999;M
1000;M
1001;F
1002;F
1003;F
1004;F
1005;M
1006;M
1007;M
1008;M
1009;F
1010;M
1011;F
1012;F
1013;M
1014;F
1015;F
1016;F
1017;M
1018;M
1019;F
1020;M
1021;M
1022;M
1023;M
1024;F
1025;M
1026;F
1027;F
1028;F
1029;F
1030;F
1031;F
1032;F
1033;F
1034;F
1035;F
1036;F
1037;F
1038;F
1039;F
1040;F
1041;F
1042;F
1043;F
1044;F
1045;F
1046;F
1047;F
1048;F
1049;F
1050;F
1051;F
1052;M
1053;F
1054;F
1055;F
1056;F
1057;F
1058;M
1059;M
1060;F
1061;M
1062;M
1063;M
1064;M
1065;M
1066;M
1067;M
1068;M
1069;M
1070;M
1071;M
1072;F
1073;M
1074;M
1075;F
1076;M
1077;M
1078;M
1079;M
1080;M
1081;F
1082;M
1083;M
1084;F
1085;M
1086;M
1087;M
1088;F
1089;F
